date,name,isHoliday,holidayCategory,description
2/8/2016,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2/9/2016,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2/10/2016,春節,是,放假之紀念日及節日,全國各機關學校於二月八日至二月十日放假三日。
2/11/2016,,是,補假,
2/12/2016,,是,調整放假日,
2/13/2016,,是,星期六、星期日,
2/14/2016,,是,星期六、星期日,
2/20/2016,,是,星期六、星期日,
2/21/2016,,是,星期六、星期日,
2/27/2016,,是,星期六、星期日,
2/28/2016,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期日，於二月二十九日補假一日。
2/29/2016,,是,補假,
3/5/2016,,是,星期六、星期日,
3/6/2016,,是,星期六、星期日,
3/12/2016,,是,星期六、星期日,
3/13/2016,,是,星期六、星期日,
3/19/2016,,是,星期六、星期日,
3/20/2016,,是,星期六、星期日,
3/26/2016,,是,星期六、星期日,
3/27/2016,,是,星期六、星期日,
4/2/2016,,是,星期六、星期日,
4/3/2016,,是,放假之紀念日及節日,
4/4/2016,兒童節、民族掃墓節（清明節）,是,放假之紀念日及節日,全國各機關學校放假一日(兒童節與民族掃墓節同一日時，於前一日放假，並於四月五日補假一日)。
4/5/2016,,是,補假,
4/9/2016,,是,星期六、星期日,
4/10/2016,,是,星期六、星期日,
4/16/2016,,是,星期六、星期日,
4/17/2016,,是,星期六、星期日,
4/23/2016,,是,星期六、星期日,
4/24/2016,,是,星期六、星期日,
4/30/2016,,是,星期六、星期日,
5/1/2016,勞動節,是,特定節日,勞工放假一日。
5/7/2016,,是,星期六、星期日,
5/8/2016,,是,星期六、星期日,
5/14/2016,,是,星期六、星期日,
5/15/2016,,是,星期六、星期日,
5/21/2016,,是,星期六、星期日,
5/22/2016,,是,星期六、星期日,
5/28/2016,,是,星期六、星期日,
5/29/2016,,是,星期六、星期日,
6/4/2016,,否,補行上班日,
6/5/2016,,是,星期六、星期日,
6/9/2016,端午節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整六月十日為放假日，並於六月四日補行上班一日。
6/10/2016,,是,調整放假日,
6/11/2016,,是,星期六、星期日,
6/12/2016,,是,星期六、星期日,
6/18/2016,,是,星期六、星期日,
6/19/2016,,是,星期六、星期日,
6/25/2016,,是,星期六、星期日,
6/26/2016,,是,星期六、星期日,
7/2/2016,,是,星期六、星期日,
7/3/2016,,是,星期六、星期日,
7/9/2016,,是,星期六、星期日,
7/10/2016,,是,星期六、星期日,
7/16/2016,,是,星期六、星期日,
7/17/2016,,是,星期六、星期日,
7/23/2016,,是,星期六、星期日,
7/24/2016,,是,星期六、星期日,
7/30/2016,,是,星期六、星期日,
7/31/2016,,是,星期六、星期日,
8/6/2016,,是,星期六、星期日,
8/7/2016,,是,星期六、星期日,
8/13/2016,,是,星期六、星期日,
8/14/2016,,是,星期六、星期日,
8/20/2016,,是,星期六、星期日,
8/21/2016,,是,星期六、星期日,
8/27/2016,,是,星期六、星期日,
8/28/2016,,是,星期六、星期日,
9/3/2016,軍人節,是,特定節日,軍人依國防部規定辦理。
9/4/2016,,是,星期六、星期日,
9/10/2016,,否,補行上班日,
9/11/2016,,是,星期六、星期日,
9/15/2016,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日，適逢星期四，調整九月十六日為放假日，並於九月十日補行上班一日。
9/16/2016,,是,調整放假日,
9/17/2016,,是,星期六、星期日,
9/18/2016,,是,星期六、星期日,
9/24/2016,,是,星期六、星期日,
9/25/2016,,是,星期六、星期日,
10/1/2016,,是,星期六、星期日,
10/2/2016,,是,星期六、星期日,
10/8/2016,,是,星期六、星期日,
10/9/2016,,是,星期六、星期日,
10/10/2016,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
10/15/2016,,是,星期六、星期日,
10/16/2016,,是,星期六、星期日,
10/22/2016,,是,星期六、星期日,
10/23/2016,,是,星期六、星期日,
10/29/2016,,是,星期六、星期日,
10/30/2016,,是,星期六、星期日,
11/5/2016,,是,星期六、星期日,
11/6/2016,,是,星期六、星期日,
11/12/2016,,是,星期六、星期日,
11/13/2016,,是,星期六、星期日,
11/19/2016,,是,星期六、星期日,
11/20/2016,,是,星期六、星期日,
11/26/2016,,是,星期六、星期日,
11/27/2016,,是,星期六、星期日,
12/3/2016,,是,星期六、星期日,
12/4/2016,,是,星期六、星期日,
